open,label
-39499,0
-39231,0
-39086,0
-39030,0
-38968,0
-38891,1
-38795,1
-38711,1
-38722,1
-38916,1
-39520,1
-41218,1
-45477,1
-54511,1
-70627,1
-94892,1
-125789,1
-158897,1
-187994,1
-207045,1
-211934,1
-201299,1
-176454,1
-140786,1
-99225,1
-58036,1
-24979,1
-8953,1
-17779,1
-54579,1
-115063,1
-188090,1
-259365,1
-315335,1
-345100,1
-340653,1
-297221,1
-214678,1
-98513,1
40762,1
189548,1
334381,1
465108,1
575844,1
663262,1
724305,1
755059,1
750987,1
708828,1
629233,1
518110,1
385716,1
243715,1
102170,1
-31547,1
-152179,1
-255592,1
-338426,1
-398412,1
-434633,1
-447358,1
-437807,1
-408635,1
-364847,1
-313913,1
-264525,1
-224240,1
-197468,1
-184852,1
-184072,1
-191690,1
-204430,1
-219272,1
-232935,1
-241522,1
-241189,1
-229572,1
-206771,1
-175214,1
-138626,1
-100904,1
-65462,1
-35027,1
-11665,1
3229,1
9328,1
7811,1
1386,1
-6247,1
-11402,1
-11500,1
-5775,1
4476,1
16350,1
26670,1
33603,1
37710,1
41460,1
47291,1
55954,1
66195,1
75624,1
81957,1
83636,1
79824,1
70217,1
54939,1
34911,1
12297,1
-9909,1
-29342,1
-45911,1
-62183,1
-81914,1
-107908,1
-140712,1
-178544,1
-218182,1
-255925,1
-287759,1
-309298,1
-316178,1
-304835,1
-273665,1
-223923,1
-159761,1
-87559,1
-14889,1
50653,1
102778,1
137790,1
155189,1
157385,1
148738,1
134240,1
118379,1
104300,1
93253,1
84583,1
76187,1
65301,1
49407,1
27046,1
-1670,1
-35002,1
-69959,1
-103013,1
-130915,1
-151218,1
-162436,1
-164037,1
-156329,1
-140375,1
-117973,1
-91573,1
-64104,1
-38690,1
-18062,1
-3949,1
3231,1
4452,1
1668,1
-3058,1
-8306,1
-13594,1
-19067,1
-24862,1
-30677,1
-35830,1
-39697,1
-42139,1
-43594,1
-44957,1
-47305,1
-51518,1
-57839,1
-65470,1
-72567,1
-76793,1
-76165,1
-69746,1
-57864,1
-42059,1
-24735,1
-8393,1
5233,1
15791,1
24178,1
31627,1
38552,1
43915,1
45890,1
43227,1
36388,1
27659,1
19939,1
15053,1
12647,1
10171,1
3864,1
-9564,1
-31355,1
-60044,1
-91771,1
-121533,1
-144720,1
-158294,1
-161487,1
-155597,1
-143065,1
-126298,1
-106974,1
-86215,1
-65235,1
-45953,1
-30810,1
-21943,1
-20312,1
-25271,1
-34841,1
-46212,1
-56454,1
-63424,1
-66384,1
-66174,1
-64684,1
-63758,1
-64186,1
-65272,1
-65211,1
-61978,1
-54261,1
-42035,1
-26710,1
-10773,1
3247,1
13710,1
20216,1
23500,1
24629,1
24055,1
21101,1
14001,1
910,1
-18681,1
-43095,1
-68579,1
-90507,1
-105141,1
-110784,1
-107771,1
-97724,1
-82602,1
-64144,1
-44040,1
-24255,1
-7047,1
5301,1
10883,1
8475,1
-2273,1
-20743,1
-45316,1
-73247,1
-100752,1
-123617,1
-138092,1
-141821,1
-134441,1
-117460,1
-93496,1
-65244,1
-34773,1
-3422,1
27828,1
57783,1
84584,1
105640,1
118042,1
119273,1
108139,1
85520,1
54385,1
19117,1
-15575,1
-45831,1
-69435,1
-86047,1
-96913,1
-104032,1
-109085,1
-112775,1
-114692,1
-113779,1
-109305,1
-101547,1
-91913,1
-82458,1
-75046,1
-70665,1
-69098,1
-69463,1
-71033,1
-73557,1
-77221,1
-82161,1
-87921,1
-93322,1
-96665,1
-96205,1
-90577,1
-79057,1
-61842,1
